nu dvA wA eA rpA iA dvB wB eB rpB iB
76 1079.98395 230.424355 0.7 7966.2 64 6651.71319 61.5756448 0.7 7966.2 64
76.5 1071.5554 230.583846 0.7 7966.2 64 6655.33131 62.4161541 0.7 7966.2 64
77 1063.19506 230.742412 0.7 7966.2 64 6658.59379 63.2575881 0.7 7966.2 64
77.5 1054.90248 230.900065 0.7 7966.2 64 6661.49925 64.0999346 0.7 7966.2 64
78 1046.67719 231.056818 0.7 7966.2 64 6664.04637 64.9431816 0.7 7966.2 64
78.5 1038.51874 231.212683 0.7 7966.2 64 6666.23384 65.7873172 0.7 7966.2 64
79 1030.42669 231.36767 0.7 7966.2 64 6668.06042 66.6323296 0.7 7966.2 64
79.5 1022.40059 231.521793 0.7 7966.2 64 6669.52488 67.4782071 0.7 7966.2 64
80 1014.44001 231.675062 0.7 7966.2 64 6670.62605 68.324938 0.7 7966.2 64
80.5 1006.54452 231.827489 0.7 7966.2 64 6671.36279 69.1725109 0.7 7966.2 64
81 998.7137 231.979086 0.7 7966.2 64 6671.73399 70.0209144 0.7 7966.2 64
81.5 990.947133 232.129863 0.7 7966.2 64 6671.73858 70.8701372 0.7 7966.2 64
82 983.24441 232.279832 0.7 7966.2 64 6671.37556 71.720168 0.7 7966.2 64
82.5 975.605128 232.429004 0.7 7966.2 64 6670.64392 72.5709957 0.7 7966.2 64
83 968.028889 232.577391 0.7 7966.2 64 6669.54272 73.4226094 0.7 7966.2 64
83.5 960.515305 232.725002 0.7 7966.2 64 6668.07106 74.274998 0.7 7966.2 64
84 953.063989 232.871849 0.7 7966.2 64 6666.22805 75.1281507 0.7 7966.2 64
84.5 945.674565 233.017943 0.7 7966.2 64 6664.01289 75.9820568 0.7 7966.2 64
85 938.34666 233.163294 0.7 7966.2 64 6661.42475 76.8367056 0.7 7966.2 64
85.5 931.079908 233.307914 0.7 7966.2 64 6658.46291 77.6920864 0.7 7966.2 64
86 923.87395 233.451811 0.7 7966.2 64 6655.12664 78.5481888 0.7 7966.2 64
86.5 916.728433 233.594998 0.7 7966.2 64 6651.41526 79.4050023 0.7 7966.2 64
87 909.643009 233.737483 0.7 7966.2 64 6647.32814 80.2625166 0.7 7966.2 64
87.5 902.617338 233.879279 0.7 7966.2 64 6642.86468 81.1207214 0.7 7966.2 64
88 895.651084 234.020393 0.7 7966.2 64 6638.02433 81.9796065 0.7 7966.2 64
88.5 888.74392 234.160838 0.7 7966.2 64 6632.80655 82.8391618 0.7 7966.2 64
89 881.895521 234.300623 0.7 7966.2 64 6627.21088 83.6993771 0.7 7966.2 64
89.5 875.105573 234.439757 0.7 7966.2 64 6621.23687 84.5602425 0.7 7966.2 64
90 868.373765 234.578252 0.7 7966.2 64 6614.88412 85.4217482 0.7 7966.2 64
90.5 861.699793 234.716116 0.7 7966.2 64 6608.15225 86.2838841 0.7 7966.2 64
91 855.083358 234.85336 0.7 7966.2 64 6601.04096 87.1466405 0.7 7966.2 64
91.5 848.524171 234.989992 0.7 7966.2 64 6593.54995 88.0100077 0.7 7966.2 64
92 842.021944 235.126024 0.7 7966.2 64 6585.67897 88.8739759 0.7 7966.2 64
92.5 835.576398 235.261464 0.7 7966.2 64 6577.42782 89.7385357 0.7 7966.2 64
93 829.187261 235.396323 0.7 7966.2 64 6568.79634 90.6036773 0.7 7966.2 64
93.5 822.854265 235.530609 0.7 7966.2 64 6559.78438 91.4693913 0.7 7966.2 64
94 816.57715 235.664332 0.7 7966.2 64 6550.39186 92.3356682 0.7 7966.2 64
94.5 810.355661 235.797501 0.7 7966.2 64 6540.61873 93.2024987 0.7 7966.2 64
95 804.18955 235.930127 0.7 7966.2 64 6530.46498 94.0698732 0.7 7966.2 64
95.5 798.078574 236.062217 0.7 7966.2 64 6519.93063 94.9377826 0.7 7966.2 64
96 792.022498 236.193783 0.7 7966.2 64 6509.01575 95.8062175 0.7 7966.2 64
96.5 786.021092 236.324831 0.7 7966.2 64 6497.72045 96.6751687 0.7 7966.2 64
97 780.074133 236.455373 0.7 7966.2 64 6486.04486 97.5446269 0.7 7966.2 64
97.5 774.181405 236.585417 0.7 7966.2 64 6473.98918 98.4145831 0.7 7966.2 64
98 768.342696 236.714972 0.7 7966.2 64 6461.55362 99.2850281 0.7 7966.2 64
98.5 762.557803 236.844047 0.7 7966.2 64 6448.73845 100.155953 0.7 7966.2 64
99 756.826528 236.972652 0.7 7966.2 64 6435.54397 101.027348 0.7 7966.2 64
99.5 751.148679 237.100795 0.7 7966.2 64 6421.97051 101.899205 0.7 7966.2 64
100 745.524073 237.228486 0.7 7966.2 64 6408.01846 102.771514 0.7 7966.2 64
100.5 739.952531 237.355733 0.7 7966.2 64 6393.68824 103.644267 0.7 7966.2 64
101 734.433882 237.482545 0.7 7966.2 64 6378.98029 104.517455 0.7 7966.2 64
101.5 728.967961 237.608932 0.7 7966.2 64 6363.89513 105.391068 0.7 7966.2 64
102 723.554609 237.734903 0.7 7966.2 64 6348.43328 106.265097 0.7 7966.2 64
102.5 718.193676 237.860465 0.7 7966.2 64 6332.59532 107.139535 0.7 7966.2 64
103 712.885018 237.985629 0.7 7966.2 64 6316.38187 108.014371 0.7 7966.2 64
103.5 707.628496 238.110403 0.7 7966.2 64 6299.79358 108.889597 0.7 7966.2 64
104 702.42398 238.234796 0.7 7966.2 64 6282.83113 109.765204 0.7 7966.2 64
104.5 697.271347 238.358817 0.7 7966.2 64 6265.49527 110.641183 0.7 7966.2 64
105 692.170481 238.482475 0.7 7966.2 64 6247.78677 111.517525 0.7 7966.2 64
105.5 687.121272 238.605778 0.7 7966.2 64 6229.70643 112.394222 0.7 7966.2 64
106 682.123619 238.728737 0.7 7966.2 64 6211.25511 113.271263 0.7 7966.2 64
106.5 677.177427 238.851359 0.7 7966.2 64 6192.4337 114.148641 0.7 7966.2 64
107 672.28261 238.973654 0.7 7966.2 64 6173.24312 115.026346 0.7 7966.2 64
107.5 667.439089 239.09563 0.7 7966.2 64 6153.68434 115.90437 0.7 7966.2 64
108 662.646792 239.217297 0.7 7966.2 64 6133.75838 116.782703 0.7 7966.2 64
108.5 657.905657 239.338664 0.7 7966.2 64 6113.46628 117.661336 0.7 7966.2 64
109 653.215626 239.45974 0.7 7966.2 64 6092.80913 118.54026 0.7 7966.2 64
109.5 648.576654 239.580533 0.7 7966.2 64 6071.78805 119.419467 0.7 7966.2 64
110 643.988701 239.701053 0.7 7966.2 64 6050.40422 120.298947 0.7 7966.2 64
110.5 639.451737 239.82131 0.7 7966.2 64 6028.65884 121.17869 0.7 7966.2 64
111 634.965739 239.941311 0.7 7966.2 64 6006.55316 122.058689 0.7 7966.2 64
111.5 630.530695 240.061067 0.7 7966.2 64 5984.08846 122.938933 0.7 7966.2 64
112 626.1466 240.180587 0.7 7966.2 64 5961.26607 123.819413 0.7 7966.2 64
112.5 621.813459 240.299881 0.7 7966.2 64 5938.08736 124.700119 0.7 7966.2 64
113 617.531286 240.418956 0.7 7966.2 64 5914.55374 125.581044 0.7 7966.2 64
113.5 613.300106 240.537824 0.7 7966.2 64 5890.66666 126.462176 0.7 7966.2 64
114 609.11995 240.656494 0.7 7966.2 64 5866.4276 127.343506 0.7 7966.2 64
114.5 604.990864 240.774975 0.7 7966.2 64 5841.83809 128.225025 0.7 7966.2 64
115 600.9129 240.893276 0.7 7966.2 64 5816.89971 129.106724 0.7 7966.2 64
115.5 596.886122 241.011409 0.7 7966.2 64 5791.61406 129.988591 0.7 7966.2 64
116 592.910606 241.129382 0.7 7966.2 64 5765.9828 130.870618 0.7 7966.2 64
116.5 588.986436 241.247206 0.7 7966.2 64 5740.00762 131.752794 0.7 7966.2 64
117 585.113711 241.36489 0.7 7966.2 64 5713.69025 132.63511 0.7 7966.2 64
117.5 581.292537 241.482446 0.7 7966.2 64 5687.03248 133.517554 0.7 7966.2 64
118 577.523037 241.599882 0.7 7966.2 64 5660.03612 134.400118 0.7 7966.2 64
118.5 573.805342 241.71721 0.7 7966.2 64 5632.70303 135.28279 0.7 7966.2 64
119 570.139598 241.834441 0.7 7966.2 64 5605.03512 136.165559 0.7 7966.2 64
119.5 566.525962 241.951584 0.7 7966.2 64 5577.03432 137.048416 0.7 7966.2 64
120 562.964606 242.06865 0.7 7966.2 64 5548.70264 137.93135 0.7 7966.2 64
120.5 559.455715 242.185651 0.7 7966.2 64 5520.0421 138.814349 0.7 7966.2 64
121 555.999488 242.302598 0.7 7966.2 64 5491.05477 139.697402 0.7 7966.2 64
121.5 552.596139 242.419502 0.7 7966.2 64 5461.74277 140.580498 0.7 7966.2 64
122 549.245897 242.536374 0.7 7966.2 64 5432.10827 141.463626 0.7 7966.2 64
122.5 545.949005 242.653226 0.7 7966.2 64 5402.15348 142.346774 0.7 7966.2 64
123 542.705724 242.77007 0.7 7966.2 64 5371.88064 143.22993 0.7 7966.2 64
123.5 539.516331 242.886918 0.7 7966.2 64 5341.29205 144.113082 0.7 7966.2 64
124 536.381118 243.003782 0.7 7966.2 64 5310.39005 144.996218 0.7 7966.2 64
124.5 533.300398 243.120674 0.7 7966.2 64 5279.17704 145.879326 0.7 7966.2 64
125 530.274501 243.237607 0.7 7966.2 64 5247.65544 146.762393 0.7 7966.2 64
125.5 527.303774 243.354594 0.7 7966.2 64 5215.82775 147.645406 0.7 7966.2 64
126 524.388585 243.471649 0.7 7966.2 64 5183.69648 148.528351 0.7 7966.2 64
126.5 521.529324 243.588784 0.7 7966.2 64 5151.26422 149.411216 0.7 7966.2 64
127 518.7264 243.706013 0.7 7966.2 64 5118.53359 150.293987 0.7 7966.2 64
127.5 515.980243 243.823351 0.7 7966.2 64 5085.50727 151.176649 0.7 7966.2 64
128 513.291308 243.940811 0.7 7966.2 64 5052.18799 152.059189 0.7 7966.2 64
128.5 510.660072 244.058408 0.7 7966.2 64 5018.57851 152.941592 0.7 7966.2 64
129 508.087036 244.176157 0.7 7966.2 64 4984.68167 153.823843 0.7 7966.2 64
129.5 505.572728 244.294074 0.7 7966.2 64 4950.50035 154.705926 0.7 7966.2 64
130 503.1177 244.412173 0.7 7966.2 64 4916.03748 155.587827 0.7 7966.2 64
130.5 500.722532 244.530471 0.7 7966.2 64 4881.29604 156.469529 0.7 7966.2 64
131 498.387835 244.648984 0.7 7966.2 64 4846.27908 157.351016 0.7 7966.2 64
131.5 496.114246 244.767729 0.7 7966.2 64 4810.98969 158.232271 0.7 7966.2 64
132 493.902435 244.886723 0.7 7966.2 64 4775.43104 159.113277 0.7 7966.2 64
132.5 491.753102 245.005984 0.7 7966.2 64 4739.60632 159.994016 0.7 7966.2 64
133 489.666982 245.125531 0.7 7966.2 64 4703.51881 160.874469 0.7 7966.2 64
