nu dvA wA eA rpA iA dvB wB eB rpB iB
119 197.799698 270 0.674522647 8642.72563 63.434 nan nan nan nan nan
119.5 197.932479 270 0.674187443 8651.62665 63.434 nan nan nan nan nan
120 198.087298 270 0.673845484 8660.70702 63.434 nan nan nan nan nan
120.5 198.265074 270 0.673496523 8669.97334 63.434 nan nan nan nan nan
121 198.46678 270 0.673140298 8679.43252 63.434 nan nan nan nan nan
121.5 198.693441 270 0.672776536 8689.09186 63.434 nan nan nan nan nan
122 198.946138 270 0.672404946 8698.95905 63.434 nan nan nan nan nan
122.5 199.226014 270 0.672025224 8709.0422 63.434 nan nan nan nan nan
123 199.534278 270 0.671637046 8719.34988 63.434 nan nan nan nan nan
123.5 199.872209 270 0.671240072 8729.89113 63.434 nan nan nan nan nan
124 200.241162 270 0.670833941 8740.67554 63.434 nan nan nan nan nan
124.5 200.642575 270 0.67041827 8751.71325 63.434 nan nan nan nan nan
125 201.077975 270 0.669992656 8763.015 63.434 nan nan nan nan nan
125.5 201.548984 270 0.669556669 8774.59221 63.434 nan nan nan nan nan
126 202.057328 270 0.669109852 8786.45698 63.434 nan nan nan nan nan
126.5 202.604846 270 0.668651721 8798.62221 63.434 nan nan nan nan nan
127 203.193499 270 0.668181758 8811.10161 63.434 nan nan nan nan nan
127.5 203.825382 270 0.667699413 8823.90979 63.434 nan nan nan nan nan
128 204.502735 270 0.667204098 8837.06238 63.434 nan nan nan nan nan
128.5 205.227953 270 0.666695186 8850.57603 63.434 nan nan nan nan nan
129 206.003609 270 0.666172004 8864.46861 63.434 nan nan nan nan nan
129.5 206.832461 270 0.665633832 8878.75922 63.434 nan nan nan nan nan
130 207.717476 270 0.665079898 8893.4684 63.434 nan nan nan nan nan
130.5 208.661851 270 0.66450937 8908.6182 63.434 nan nan nan nan nan
131 209.669032 270 0.663921354 8924.23237 63.434 nan nan nan nan nan
131.5 210.742743 270 0.663314886 8940.33652 63.434 nan nan nan nan nan
132 211.887015 270 0.662688924 8956.95832 63.434 nan nan nan nan nan
132.5 213.106221 270 0.66204234 8974.12771 63.434 nan nan nan nan nan
133 214.405109 270 0.661373911 8991.87717 63.434 nan nan nan nan nan
133.5 215.788851 270 0.660682309 9010.24198 63.434 nan nan nan nan nan
134 217.263091 270 0.659966086 9029.26056 63.434 nan nan nan nan nan
134.5 218.833996 270 0.659223663 9048.97486 63.434 nan nan nan nan nan
135 220.508333 270 0.658453312 9069.43076 63.434 nan nan nan nan nan
135.5 222.293534 270 0.657653137 9090.6786 63.434 2879.11065 270 0.00880305535 26320.2437 63.434
136 224.197789 270 0.656821054 9112.77374 63.434 2818.39397 270 0.0219616988 25970.829 63.434
136.5 226.23015 270 0.655954763 9135.77723 63.434 2757.48853 270 0.0352620601 25617.6513 63.434
137 228.400648 270 0.655051719 9159.75665 63.434 2696.3852 270 0.0487055728 25260.6722 63.434
137.5 230.720439 270 0.654109099 9184.78697 63.434 2635.0737 270 0.062293836 24899.8495 63.434
138 233.20197 270 0.653123757 9210.95175 63.434 2573.54248 270 0.0760286519 24535.1352 63.434
138.5 235.859182 270 0.652092175 9238.34439 63.434 2511.77845 270 0.0899120714 24166.4749 63.434
139 238.70775 270 0.651010403 9267.06976 63.434 2449.76678 270 0.10394645 23793.806 63.434
139.5 241.765376 270 0.64987399 9297.24608 63.434 2387.49062 270 0.118134514 23417.0561 63.434
140 245.052144 270 0.648677889 9329.00732 63.434 2324.9307 270 0.132479447 23036.1408 63.434
140.5 248.590958 270 0.647416358 9362.50603 63.434 2262.06492 270 0.146984993 22650.9605 63.434
141 252.408078 270 0.646082817 9397.91689 63.434 2198.86782 270 0.161655582 22261.3977 63.434
141.5 256.533803 270 0.644669685 9435.44119 63.434 2135.30986 270 0.1764965 21867.3119 63.434
142 261.003322 270 0.643168168 9475.31247 63.434 2071.3566 270 0.191514092 21468.5348 63.434
142.5 265.85781 270 0.641567986 9517.80371 63.434 2006.9676 270 0.206716031 21064.8625 63.434
143 271.145848 270 0.63985702 9563.2367 63.434 1942.09499 270 0.222111666 20656.0468 63.434
143.5 276.925294 270 0.638020849 9611.99438 63.434 1876.6816 270 0.237712483 20241.7827 63.434
144 283.265787 270 0.636042127 9664.53736 63.434 1810.65845 270 0.253532721 19821.6921 63.434
144.5 290.252168 270 0.633899733 9721.42649 63.434 1743.94134 270 0.269590221 19395.3013 63.434
145 297.98925 270 0.631567582 9783.35442 63.434 1676.42607 270 0.285907607 18962.0094 63.434
145.5 306.60866 270 0.629012927 9851.19075 63.434 1607.98158 270 0.302513986 18521.0436 63.434
146 316.27893 270 0.626193839 9926.04879 63.434 1538.4399 270 0.319447456 18071.3922 63.434
146.5 327.220953 270 0.623055365 10009.3878 63.434 1467.58066 270 0.336758956 17611.7027 63.434
147 339.7327 270 0.619523354 10103.1768 63.434 1395.10637 270 0.354518424 17140.1178 63.434
147.5 354.230984 270 0.615494047 10210.1711 63.434 1320.60066 270 0.372825213 16653.9993 63.434
148 371.327137 270 0.610815176 10334.4138 63.434 1243.45263 270 0.391826986 16149.4262 63.434
148.5 391.977565 270 0.605248358 10482.2351 63.434 1162.70623 270 0.411757318 15620.1962 63.434
149 417.825305 270 0.59838372 10664.5187 63.434 1076.71877 270 0.43302107 15055.5585 63.434
149.5 452.14898 270 0.589402556 10903.0045 63.434 982.211916 270 0.456431732 14433.9118 63.434
150 503.689004 270 0.576119806 11255.7147 63.434 870.445492 270 0.48416894 13697.378 63.434
150.5 nan nan nan nan nan nan nan nan nan nan
151 nan nan nan nan nan nan nan nan nan nan
151.5 nan nan nan nan nan nan nan nan nan nan
152 nan nan nan nan nan nan nan nan nan nan
152.5 nan nan nan nan nan nan nan nan nan nan
153 nan nan nan nan nan nan nan nan nan nan
153.5 nan nan nan nan nan nan nan nan nan nan
154 nan nan nan nan nan nan nan nan nan nan
154.5 nan nan nan nan nan nan nan nan nan nan
155 nan nan nan nan nan nan nan nan nan nan
155.5 nan nan nan nan nan nan nan nan nan nan
156 nan nan nan nan nan nan nan nan nan nan
156.5 nan nan nan nan nan nan nan nan nan nan
157 nan nan nan nan nan nan nan nan nan nan
157.5 nan nan nan nan nan nan nan nan nan nan
158 nan nan nan nan nan nan nan nan nan nan
158.5 nan nan nan nan nan nan nan nan nan nan
159 nan nan nan nan nan nan nan nan nan nan
159.5 nan nan nan nan nan nan nan nan nan nan
160 nan nan nan nan nan nan nan nan nan nan
160.5 nan nan nan nan nan nan nan nan nan nan
161 nan nan nan nan nan nan nan nan nan nan
161.5 nan nan nan nan nan nan nan nan nan nan
162 nan nan nan nan nan nan nan nan nan nan
162.5 nan nan nan nan nan nan nan nan nan nan
163 nan nan nan nan nan nan nan nan nan nan
163.5 nan nan nan nan nan nan nan nan nan nan
164 nan nan nan nan nan nan nan nan nan nan
164.5 nan nan nan nan nan nan nan nan nan nan
165 nan nan nan nan nan nan nan nan nan nan
165.5 nan nan nan nan nan nan nan nan nan nan
166 nan nan nan nan nan nan nan nan nan nan
166.5 nan nan nan nan nan nan nan nan nan nan
167 nan nan nan nan nan nan nan nan nan nan
167.5 nan nan nan nan nan nan nan nan nan nan
168 nan nan nan nan nan nan nan nan nan nan
168.5 nan nan nan nan nan nan nan nan nan nan
169 nan nan nan nan nan nan nan nan nan nan
169.5 nan nan nan nan nan nan nan nan nan nan
170 nan nan nan nan nan nan nan nan nan nan
170.5 nan nan nan nan nan nan nan nan nan nan
171 666.941185 270 0.808871552 5075.2248 63.434 532.721227 270 0.781170064 5810.81013 63.434
171.5 827.100979 270 0.839038101 4274.18227 63.434 435.191667 270 0.758958048 6400.628 63.434
172 934.12902 270 0.857733042 3777.7568 63.434 390.873579 270 0.747867819 6695.11793 63.434
172.5 1026.52573 270 0.872981578 3372.84718 63.434 361.267893 270 0.739866654 6907.58086 63.434
173 1111.29612 270 0.886253393 3020.4274 63.434 339.371059 270 0.733477659 7077.23425 63.434
173.5 1191.25943 270 0.89814085 2704.76787 63.434 322.365474 270 0.728101589 7219.99041 63.434
174 1267.87598 270 0.908950251 2417.73503 63.434 308.792652 270 0.723425609 7344.15638 63.434
174.5 1342.01285 270 0.918862679 2154.52042 63.434 297.787573 270 0.719262465 7454.70451 63.434
175 1414.23174 270 0.927994707 1912.02856 63.434 288.790855 270 0.715489792 7554.88407 63.434
175.5 1484.91938 270 0.936425999 1688.14402 63.434 281.418418 270 0.712022527 7646.95381 63.434
176 1554.35426 270 0.944213507 1481.35454 63.434 275.394732 270 0.708798731 7732.55849 63.434
176.5 1622.74408 270 0.95139944 1290.53927 63.434 270.515489 270 0.705771625 7812.94027 63.434
177 1690.24802 270 0.958016063 1114.84147 63.434 266.625273 270 0.70290481 7889.06567 63.434
177.5 1756.99093 270 0.964088727 953.587951 63.434 263.603498 270 0.700169244 7961.70589 63.434
178 1823.07257 270 0.969637882 806.235694 63.434 261.355163 270 0.697541241 8031.4899 63.434
178.5 1888.57393 270 0.974680449 672.335368 63.434 259.804567 270 0.695001104 8098.94068 63.434
179 1953.5617 270 0.979230794 551.505505 63.434 258.890905 270 0.692532165 8164.5009 63.434
179.5 2018.09144 270 0.98330143 443.413821 63.434 258.565116 270 0.69012008 8228.5514 63.434
180 2082.20995 270 0.986903541 347.76337 63.434 258.787562 270 0.687752318 8291.42494 63.434
180.5 2145.95703 270 0.990047372 264.282093 63.434 259.526311 270 0.68541777 8353.41654 63.434
181 2209.36682 270 0.992742533 192.714788 63.434 260.755831 270 0.683106444 8414.79148 63.434
181.5 2272.46887 270 0.994998236 132.816844 63.434 262.455988 270 0.680809235 8475.79157 63.434
182 2335.2889 270 0.99682348 84.3492993 63.434 264.611273 270 0.678517736 8536.64005 63.434
182.5 2397.84954 270 0.998227202 47.0748806 63.434 267.210193 270 0.676224084 8597.54568 63.434
183 2460.17076 270 0.999218392 20.7548145 63.434 270.2448 270 0.673920841 8658.706 63.434
183.5 2522.27039 270 0.999806198 5.14622467 63.434 273.710308 270 0.671600887 8720.31006 63.434
184 nan nan nan nan nan 277.604793 270 0.669257336 8782.54071 63.434
184.5 2150.38303 270 0.999809481 5.05903728 63.434 281.928956 270 0.66688346 8845.5766 63.434
