nu dvA wA eA rpA iA dvB wB eB rpB iB
99 1186.26833 235.369366 0.7 7966.2 51.8104595 6500.05172 99.4240616 0.7 7966.2 51.8104595
99.5 1206.94484 235.48528 0.7 7966.2 51.2968896 6491.08595 100.28369 0.7 7966.2 51.2968896
100 1230.2184 235.59972 0.7 7966.2 50.7409489 6482.30914 101.142748 0.7 7966.2 50.7409489
100.5 1256.42619 235.712559 0.7 7966.2 50.1371913 6473.81852 102.001093 0.7 7966.2 50.1371913
101 1285.96353 235.823649 0.7 7966.2 49.4792189 6465.73265 102.858558 0.7 7966.2 49.4792189
101.5 1319.29642 235.932811 0.7 7966.2 48.7594707 6458.19712 103.714946 0.7 7966.2 48.7594707
102 1356.97721 236.039829 0.7 7966.2 47.9689549 6451.39218 104.570023 0.7 7966.2 47.9689549
102.5 1399.66458 236.144442 0.7 7966.2 47.0969057 6445.54283 105.423511 0.7 7966.2 47.0969057
103 1448.14892 236.24633 0.7 7966.2 46.1303426 6440.9324 106.275072 0.7 7966.2 46.1303426
103.5 1503.38478 236.3451 0.7 7966.2 45.0534982 6437.921 107.124294 0.7 7966.2 45.0534982
104 1566.53263 236.440263 0.7 7966.2 43.8470712 6436.97072 107.970671 0.7 7966.2 43.8470712
104.5 1639.0126 236.531206 0.7 7966.2 42.4872453 6438.68045 108.813572 0.7 7966.2 42.4872453
105 1722.5735 236.617152 0.7 7966.2 40.944396 6443.83419 109.652203 0.7 7966.2 40.944396
105.5 1819.38102 236.697108 0.7 7966.2 39.1813834 6453.46836 110.485551 0.7 7966.2 39.1813834
106 1932.12824 236.769787 0.7 7966.2 37.1513065 6468.96568 111.312313 0.7 7966.2 37.1513065
106.5 2064.16925 236.833502 0.7 7966.2 34.794591 6492.18457 112.130784 0.7 7966.2 34.794591
107 2219.6685 236.886019 0.7 7966.2 32.0353223 6525.63368 112.938711 0.7 7966.2 32.0353223
107.5 2403.73796 236.92434 0.7 7966.2 28.7769288 6572.69444 113.73308 0.7 7966.2 28.7769288
108 2622.48785 236.944418 0.7 7966.2 24.8978525 6637.87117 114.509823 0.7 7966.2 24.8978525
108.5 2882.8202 236.940757 0.7 7966.2 20.2491444 6726.98167 115.263429 0.7 7966.2 20.2491444
109 3191.62082 236.905941 0.7 7966.2 14.6586703 6847.0487 115.986461 0.7 7966.2 14.6586703
109.5 3553.77571 236.830159 0.7 7966.2 7.95136919 7005.3751 116.669093 0.7 7966.2 7.95136919
110 nan nan nan nan nan nan nan nan nan nan
110.5 5931.32906 242.13817 0.7 7966.2 170.81629 8433.05955 123.495551 0.7 7966.2 170.81629
111 5489.43755 241.655908 0.7 7966.2 160.658142 8112.30078 123.773285 0.7 7966.2 160.658142
111.5 4991.0735 241.263473 0.7 7966.2 150.065247 7766.75997 124.141339 0.7 7966.2 150.065247
112 4470.4577 240.962061 0.7 7966.2 139.729684 7424.9327 124.600886 0.7 7966.2 139.729684
112.5 3966.30918 240.744336 0.7 7966.2 130.251291 7113.77805 125.144575 0.7 7966.2 130.251291
113 3507.43126 240.597427 0.7 7966.2 121.964699 6848.55278 125.759514 0.7 7966.2 121.964699
113.5 3107.20347 240.506997 0.7 7966.2 114.937155 6631.63103 126.431349 0.7 7966.2 114.937155
114 2766.70834 240.460082 0.7 7966.2 109.067738 6457.44692 127.147094 0.7 7966.2 109.067738
114.5 2480.38331 240.446189 0.7 7966.2 104.187486 6317.70209 127.89624 0.7 7966.2 104.187486
115 2240.33067 240.45731 0.7 7966.2 100.120558 6204.37808 128.670758 0.7 7966.2 100.120558
115.5 2038.63939 240.487493 0.7 7966.2 96.7110212 6110.85681 129.464675 0.7 7966.2 96.7110212
116 1868.33466 240.532349 0.7 7966.2 93.8301557 6032.05512 130.273585 0.7 7966.2 93.8301557
116.5 1723.61472 240.588638 0.7 7966.2 91.3751763 5964.19568 131.094226 0.7 7966.2 91.3751763
117 1599.78381 240.653946 0.7 7966.2 89.2651465 5904.5073 131.924165 0.7 7966.2 89.2651465
117.5 1493.0852 240.726462 0.7 7966.2 87.43656 5850.96067 132.76157 0.7 7966.2 87.43656
118 1400.52264 240.804805 0.7 7966.2 85.8394791 5802.0634 133.60504 0.7 7966.2 85.8394791
118.5 1319.70235 240.887914 0.7 7966.2 84.4344269 5756.70958 134.453493 0.7 7966.2 84.4344269
119 1248.70348 240.974963 0.7 7966.2 83.1899782 5714.07209 135.306082 0.7 7966.2 83.1899782
119.5 1185.97577 241.065302 0.7 7966.2 82.080922 5673.52613 136.162135 0.7 7966.2 82.080922
120 1130.25983 241.158415 0.7 7966.2 81.0868701 5634.59485 137.021115 0.7 7966.2 81.0868701
120.5 1080.52571 241.253886 0.7 7966.2 80.191202 5596.91074 137.882584 0.7 7966.2 80.191202
121 1035.92534 241.351381 0.7 7966.2 79.3802624 5560.1878 138.746185 0.7 7966.2 79.3802624
121.5 995.755815 241.450627 0.7 7966.2 78.6427477 5524.20141 139.611623 0.7 7966.2 78.6427477
122 959.430841 241.551399 0.7 7966.2 77.969234 5488.7737 140.478651 0.7 7966.2 77.969234
122.5 926.458422 241.653512 0.7 7966.2 77.3518108 5453.76265 141.34706 0.7 7966.2 77.3518108
123 896.423318 241.756813 0.7 7966.2 76.7837954 5419.05405 142.216673 0.7 7966.2 76.7837954
123.5 868.97318 241.861174 0.7 7966.2 76.259508 5384.55544 143.087338 0.7 7966.2 76.259508
124 843.80749 241.966487 0.7 7966.2 75.7740936 5350.19148 143.958924 0.7 7966.2 75.7740936
124.5 820.668714 242.072664 0.7 7966.2 75.3233798 5315.90049 144.831317 0.7 7966.2 75.3233798
125 799.335158 242.179629 0.7 7966.2 74.9037626 5281.63169 145.704415 0.7 7966.2 74.9037626
125.5 779.615172 242.287318 0.7 7966.2 74.5121141 5247.3431 146.578129 0.7 7966.2 74.5121141
126 761.342425 242.395679 0.7 7966.2 74.1457075 5212.99992 147.452381 0.7 7966.2 74.1457075
